,notebook_id,total_execution_time,name,tdp_watts,total_co2_emissions
646,68c694de94,442.41092949709946,GTX 750,250,0.02795791290571948
647,690bb330e5,2894.042877126152,GTX TITAN X,250,0.18288743181838876
648,690d83983a,765.9626220808685,Quadro K6000,225,0.043564124130849396
649,6915849303,1185.9936711507496,Quadro P6000,250,0.07494821116299877
650,6917ff2a7b,503.98951244966776,RTX 2080 Ti,250,0.031849337245083174
651,69295f5f6b,1635.5066076176404,RTX 2080,215,0.0888852410501087
652,69386f6bb1,488.09891826290476,RTX 8000,260,0.03207894557250091
653,69421f0324,832.3396491813121,T4,70,0.014727787681347106
654,6950aa02ae,1143.566472085733,Tesla K40c,245,0.07082170693097617
655,696b35cc35,4055.2196031243025,Tesla K80,300,0.307520819903593
656,697e382cfd,5317.245017737353,Tesla M40 24GB,250,0.3360203448709022
657,698d51a19d,2369.5221111849264,Tesla P100,250,0.14974063341515856
658,69b09198d4,283.3893821075859,Tesla P40,250,0.017908634563743277
659,69d1fc78db,357.60766781832115,Tesla V100-PCIE-16GB,300,0.027118581476222686
660,69dafe8b58,18908.992138142938,Tesla V100-SXM2-16GB,250,1.1949432531743107
661,6a10bbd480,256.1152616990115,Tesla V100-SXM2-32GB,300,0.01942207401217504
662,6a450490f2,899.3112378794913,Titan RTX,280,0.06365125094769289
663,6a508a60aa,1093.067195012433,Titan V,250,0.06907577412925793
664,6a8018b3a0,518.7889888817126,TITAN X Pascal,250,0.0327845819362749
665,6abcc8f243,721.7950308889509,Titan Xp,250,0.04561343597978787
666,6add07cf50,3353.9724348790396,TPUv2 Chip,221,0.18736594343847882
667,6ae07dcb33,345.6951691019094,TPUv3 Chip,283,0.024729688027448533
668,6aed000af8,12.304787053349083,RTX 3080,320,0.0009953205527597926
669,6b5754d737,333.8703891262147,RTX 3080 TI,350,0.029538255260194272
670,6ba3af5d7b,526.8577346077844,RTX 3090,350,0.046612274575716484
671,6c340f2583,2092.902919506886,RTX A4000,140,0.07406550887366037
672,6c4bb406b3,1637.2583620907437,RTX A5000,230,0.09518838199599797
673,6c8349cc72,19640.209885616772,RTX A6000,300,1.4893825829926053
674,6c8dba7d0d,1111.1522975993253,Intel Xeon E5-2699,145,0.04072681824117526
675,6c97cd0766,637.8234125516184,Intel Xeon E5-2630v4,85,0.013704344711352135
676,6c990b7aca,1100.8793228808793,Intel Xeon E5-2650,105,0.029219172028130003
677,6cd67d9b6f,378.59784300035597,Intel Xeon Gold 5220,125,0.011962640178136249
